"Country Name,""Country Code"",""Series Name"",""Series Code"",""Time"",""Time Code"",""Value"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""1998"",""YR1998"","".."""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""1999"",""YR1999"","".."""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2000"",""YR2000"","".."""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2001"",""YR2001"","".."""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2002"",""YR2002"",""32157"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2003"",""YR2003"",""159674"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2004"",""YR2004"",""152873"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2005"",""YR2005"",""136829"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2006"",""YR2006"",""130457"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2007"",""YR2007"",""121256"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2008"",""YR2008"",""118589"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2009"",""YR2009"",""123912"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2010"",""YR2010"",""129998"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2011"",""YR2011"",""144312"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2012"",""YR2012"",""166944"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2013"",""YR2013"",""182253"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2014"",""YR2014"",""199867"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2015"",""YR2015"",""279279"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2016"",""YR2016"",""297505"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2017"",""YR2017"",""306822"""
"Ukraine,""UKR"",""Children out of school, primary"",""SE.PRM.UNER"",""2018"",""YR2018"",""318078"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""1998"",""YR1998"","".."""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""1999"",""YR1999"","".."""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2000"",""YR2000"",""137264"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2001"",""YR2001"",""138945"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2002"",""YR2002"",""140553"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2003"",""YR2003"",""149151"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2004"",""YR2004"",""148892"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2005"",""YR2005"",""3243"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2006"",""YR2006"",""1136"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2007"",""YR2007"",""5208"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2008"",""YR2008"",""20115"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2009"",""YR2009"",""36009"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2010"",""YR2010"",""51322"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2011"",""YR2011"",""9824"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2012"",""YR2012"",""14993"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2013"",""YR2013"",""23622"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2014"",""YR2014"",""56322"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2015"",""YR2015"",""21490"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2016"",""YR2016"",""7005"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2017"",""YR2017"",""2457"""
"France,""FRA"",""Children out of school, primary"",""SE.PRM.UNER"",""2018"",""YR2018"",""618"""
